Country Name,Componenta1,Componenta2,Componenta3,Componenta4,Componenta5
Ethiopia,0.49993585029433874,0.14515052152941577,0.24709389142980315,0.1078007893372299,1.8947409212416106e-05
Fiji,0.011339531898372933,0.6553006696243803,0.2097910109463682,0.038377755216523646,0.08519103231435499
Finland,0.07896272199449354,0.520866222953073,0.1656979048511232,0.03528057039422564,0.19919257980708457
France,0.006450771824057514,0.03264264516920873,0.45042517779190644,0.28821709445030685,0.22226431076452044
Gabon,0.0904117148924927,0.479527045142361,0.0800976597579499,0.1618565331962928,0.1881070470109037
"Gambia, The",0.45894487230298275,0.03799723721332739,0.4040401574104473,0.09779136068003329,0.001226372393209273
Georgia,0.11174004632758257,0.43095847499790985,0.4472412309484751,0.0007295308655881363,0.009330716860444293
Germany,0.12564672383477896,0.35858835274697265,0.11727136807139601,0.3908330202333227,0.0076605351135296896
Ghana,0.44395799761856264,0.10875408456262455,0.02062698202115599,0.4046612070316472,0.021999728766009717
Greece,0.04048144246550625,0.23144160510604722,0.573215488357194,0.0011374798795127832,0.15372398419173963
Guatemala,0.201790952768573,0.09282541507867703,0.009937120378743156,0.6464057803987083,0.04904073137529847
Guinea,0.3637669327043765,0.09268339013495945,0.4205996118389891,0.048009810486344714,0.07494025483533016
Guinea-Bissau,0.4527050379586019,0.03771507325862825,0.12227088971266763,0.31871127557994067,0.06859772349016162
Guyana,8.443224420706488e-05,0.6803632928344013,0.047316636467742416,0.2656004241430321,0.006635214310617026
Haiti,0.2656571437250659,0.033135134956828974,0.5324748095945909,0.14843640700494834,0.02029650471856576
Honduras,0.005216557534728232,0.7371717481866319,0.10042635080409744,0.15588055340522425,0.0013047900693182062
Hungary,0.3393251039706397,0.169694763444039,0.0005443395155654561,0.000547974937269584,0.4898878181324862
India,0.010499601305486606,0.3669490619125979,0.06376237654486375,0.11485925126235526,0.44392970897469647
Indonesia,0.2507270474515491,0.17235112924309337,0.08252154958490866,0.17754257748555063,0.3168576962348983
"Iran, Islamic Rep.",0.010714916047455007,0.5089110252357392,0.11475185277058182,0.363648441219393,0.001973764726831059
Iraq,0.17161057252911266,0.6724602353873994,0.12720548826939498,0.020468395224090916,0.008255308590002028
Ireland,0.0014900873933959135,0.011744640696934363,0.00034620755928437794,0.770167077859258,0.21625198649112737
Israel,0.14833397475799373,0.6557723799879601,0.0910143781782821,0.020833758495619244,0.08404550858014498
Italy,0.006212743930435958,0.04244239324139842,0.19456913267072348,0.6419683636506656,0.11480736650677661
Jamaica,0.017695728527769468,0.321752245029073,0.18372345870613538,0.0007458188018894086,0.47608274893513275
Japan,0.14373746397636777,0.29863143181928403,0.05023858363839405,0.014008293006455851,0.49338422755949823
Jordan,0.24085578806484623,0.6118893166515836,0.12549327332155702,0.020120199725649986,0.0016414222363630817
Kazakhstan,0.0018737553026014753,0.1551478282169344,0.019866495604747486,0.7020881838151579,0.12102373706055877
